# tlstore catalog	serial=2026092302
# generated by scripts/tlstore/build-catalog.sh from scripts/tlstore/items.tsv — do not edit
# name	kind	version	prefixes	source	digest	target	requires	options	summary	category	upstream	setup	standfirst	does1	does2	does3	try	notes	author	licence	size	picture	picture-digest	demo	featured
dawn-libs	pkg	-	*	libcurl	-	-	-	hidden=1	The web library dawn uses to fetch a linked picture.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
eza	pkg	-	*	eza	-	-	-	hidden=1	A colourful, icon-aware replacement for ls.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
fastfetch-config	file-once	4b598870	*	launcher:docs/en/examples/fastfetch.jsonc@4b598870df5cb44947e9fc475d8b245a59324cf6	4a1785c944b675c01b37d364a627c1a32437371dcb9ed5b13944c300e86329a9	~/.config/fastfetch/config.jsonc	-	hidden=1	The fastfetch layout, yours to edit.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
fastfetch-libs	pkg	-	*	imagemagick chafa libandroid-glob zlib	-	-	-	hidden=1	The image libraries fastfetch needs for its logo.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
fish	pkg	-	*	fish	-	-	-	hidden=1	The fish shell itself.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
fish-plugins	fisher	-	*	nickeb96/puffer-fish jorgebucaran/autopair.fish	-	-	fisher,fish	hidden=1	Shorter path shortcuts and automatic bracket pairing in fish.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
fisher	file	4.4.8	*	https://raw.githubusercontent.com/jorgebucaran/fisher/4.4.8/functions/fisher.fish	0fb6c81ae3003e95b5671766fa6c25c3597066e29965b7772f6c1b007387356d	~/.config/fish/functions/fisher.fish	fish	hidden=1	The plugin manager fish uses.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
musl-libgcc	binary	14.2.0	*	binaries:musl-libgcc@2026.09.22-2	2d945d6ce360769b41fbffc652c2440014bbd69416f13fe206fbac19d32c9431	~/.local/lib/musl/libgcc_s.so.1	-	hidden=1	A support library some tools built for other Linux systems need.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
musl-libstdcxx	binary	14.2.0	*	binaries:musl-libstdcxx@2026.09.22-2	85f2cd6db79578ab58be4d12b7df7482ebc003a37496c7544956d9157f8a2b3f	~/.local/lib/musl/libstdc++.so.6	-	hidden=1	The C++ library some tools built for other Linux systems need.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
musl-loader	binary	1.2.5	com.termux	binaries:musl-loader@2026.09.06	6fa6ec0dc3e5db0d0bd320fc257c5fd042fe45cc3e7591fc8c9d42ddcbc505d0	~/.local/lib/musl/ld-musl-aarch64.so.1	-	hidden=1	What tools built for other Linux systems need to start here.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
musl-loader	binary	1.2.5	io.vaj.tl	binaries:musl-loader-io.vaj.tl@2026.09.06	f1d8b767bd108eb67379f670fa31c12077341e04c4f3105b1f4a15fdb71f0358	~/.local/lib/musl/ld-musl-aarch64.so.1	-	hidden=1	What tools built for other Linux systems need to start here.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
oh-my-posh	pkg	-	*	oh-my-posh	-	-	-	hidden=1	The prompt oh-my-posh draws.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
personal-fish	file-once	v0.2.39	*	launcher:docs/en/examples/conf.d-personal.fish@v0.2.39	6ef850dc8713397ac7abdc8223145618f8032fcca9b121019719144666c5619e	~/.config/fish/conf.d/personal.fish	fish	hidden=1	A place for your own fish settings, left alone once it is there.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
zoxide	pkg	-	*	zoxide	-	-	-	hidden=1	Jump to the directories you use most by name.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
claude-panes-skill	file-once	aea80bf2	*	launcher:resources/agent-skills/termux-launcher-panes/SKILL.md@aea80bf215a6a44951154d9b600abddca56c8c49	0adb4f01ee41e945d19bca8a1713cb6af170592ec461e7b271f935268ecc9d74	~/.claude/skills/termux-launcher-panes/SKILL.md	-	hidden=1	Teaches Claude Code the launcher's pane commands.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0
