# tlstore catalog	serial=2026092601
# generated by scripts/build-catalog.sh from scripts/items.tsv — do not edit
# name	kind	version	prefixes	source	digest	target	requires	options	summary	category	upstream	setup	standfirst	does1	does2	does3	try	notes	author	licence	size	picture	picture-digest	demo	featured	readme-skip	readme	readme-digest	demo-digest
btop	binary	1.4.7	*	binaries:btop@bins-2026.09.25	723f6ad3597f3b5619abc415f84408ed9a55091567f61c5415e5260a90645812	-	tl-priv	priv=shizuku;host=launcher;min-launcher=0.2.40	A resource monitor with the whole phone in view, run as the shell user through Shizuku.	Tools	aristocratos/btop	0	a resource monitor for the whole phone	Graphs cpu, memory, disks and network	Lists every process on the phone	Shows one process in close detail	btop	needs Shizuku running and permission granted to Termux:Launcher|processes can be viewed but not killed, and network stats come from /proc/net/dev	aristocratos	Apache-2.0	~2.5 MB	binaries:scripts/pictures/btop.jpg@2026.09.25-2	a75e51f002ebe4ffd3e8e70878a6c0f34930d0b6695eb86d2077be25bb60f96f	binaries:hero/btop.png@2026.09.25-2	0	Index|News|Documents|Themes|Support and funding|Prerequisites|Screenshots|Compilation Linux|Compilation macOS OSX|Compilation FreeBSD|Compilation NetBSD|Compilation OpenBSD|Testing|Installing the snap|Configurability	binaries:readme/btop.md@2026.09.25-2	60c86ef5e6884fba0aed66c125c98a2927cafffb93f1ee73260c41ecd2997d34	16fe9f5460d6c49c2f830cb9c29c2a8abde4118931144419870da4e8afb11739
dawn-libs	pkg	-	*	libcurl	-	-	-	hidden=1	The web library dawn uses to fetch a linked picture.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
eza	pkg	-	*	eza	-	-	-	hidden=1	A colourful, icon-aware replacement for ls.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
fastfetch-config	file-once	4b598870	*	launcher:docs/en/examples/fastfetch.jsonc@4b598870df5cb44947e9fc475d8b245a59324cf6	4a1785c944b675c01b37d364a627c1a32437371dcb9ed5b13944c300e86329a9	~/.config/fastfetch/config.jsonc	-	hidden=1	The fastfetch layout, yours to edit.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
fastfetch-libs	pkg	-	*	imagemagick chafa libandroid-glob zlib	-	-	-	hidden=1	The image libraries fastfetch needs for its logo.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
fish	pkg	-	*	fish	-	-	-	hidden=1	The fish shell itself.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
fish-plugins	fisher	-	*	nickeb96/puffer-fish jorgebucaran/autopair.fish	-	-	fisher,fish	hidden=1	Shorter path shortcuts and automatic bracket pairing in fish.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
fisher	file	4.4.8	*	https://raw.githubusercontent.com/jorgebucaran/fisher/4.4.8/functions/fisher.fish	0fb6c81ae3003e95b5671766fa6c25c3597066e29965b7772f6c1b007387356d	~/.config/fish/functions/fisher.fish	fish	hidden=1	The plugin manager fish uses.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
musl-libgcc	binary	14.2.0	*	binaries:musl-libgcc@bins-2026.09.25-2	2d945d6ce360769b41fbffc652c2440014bbd69416f13fe206fbac19d32c9431	~/.local/lib/musl/libgcc_s.so.1	-	hidden=1	A support library some tools built for other Linux systems need.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
musl-libstdcxx	binary	14.2.0	*	binaries:musl-libstdcxx@bins-2026.09.25-2	85f2cd6db79578ab58be4d12b7df7482ebc003a37496c7544956d9157f8a2b3f	~/.local/lib/musl/libstdc++.so.6	-	hidden=1	The C++ library some tools built for other Linux systems need.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
musl-loader	binary	1.2.5	com.termux	binaries:musl-loader@bins-2026.09.25-3	4e44945dcf1edd0adea0dbb06164ef3d7ff56c028a6da31cd45baebbff7bbc8f	~/.local/lib/musl/ld-musl-aarch64.so.1	-	hidden=1	What tools built for other Linux systems need to start here.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
musl-loader	binary	1.2.5	io.vaj.tl	binaries:musl-loader-io.vaj.tl@bins-2026.09.25-3	b3220c0f132c0125dfd8ac7a3e330d6f62412f02dce5f420acae3917ff4202ff	~/.local/lib/musl/ld-musl-aarch64.so.1	-	hidden=1	What tools built for other Linux systems need to start here.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
tl-priv	binary	0.1.0	*	binaries:tl-priv@bins-2026.09.25-3	c7be4bc590124bf9a610ec22493923b971f18424e2790339c0a2b32e525df713	-	-	hidden=1;host=launcher	The client that runs a privileged item through the launcher.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
oh-my-posh	pkg	-	*	oh-my-posh	-	-	-	hidden=1	The prompt oh-my-posh draws.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
personal-fish	file-once	v0.2.39	*	launcher:docs/en/examples/conf.d-personal.fish@v0.2.39	d950402c7b896d34e7fb9e310f6ceef93fbbd0e7e86e6a5743fda80b251f4c7a	~/.config/fish/conf.d/personal.fish	fish	hidden=1	A place for your own fish settings, left alone once it is there.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
zoxide	pkg	-	*	zoxide	-	-	-	hidden=1	Jump to the directories you use most by name.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
claude-panes-skill	file-once	aea80bf2	*	launcher:resources/agent-skills/termux-launcher-panes/SKILL.md@aea80bf215a6a44951154d9b600abddca56c8c49	0adb4f01ee41e945d19bca8a1713cb6af170592ec461e7b271f935268ecc9d74	~/.claude/skills/termux-launcher-panes/SKILL.md	-	hidden=1	Teaches Claude Code the launcher's pane commands.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
